bu,brand,channel,month,roas,rroi,iroas,mas,spend,ctr,cpc,picr,impression_share,impressions,clicks,conversions,reported_revenue,iroas_test_flag,analyst_tag
Beverages,AquaPure,audio,2022-01-01,5.352245900138124,5.288160686984028,4.532169798619819,24321.05021677183,4599.151133329638,0.0034386930399786897,0.7015178665847525,0.0009783070019520185,0.515922306477547,1949342.0,6556.0,1909.0,24615.78779747916,True,
Beverages,AquaPure,audio,2022-02-01,6.070247391985318,5.946742559104188,,21021.337274842077,3534.9331278280038,0.003227305318353095,0.6277629422532417,0.0009667613280463658,0.5011976754587437,1760522.0,5631.0,1650.0,21457.918600040444,False,
Beverages,AquaPure,audio,2022-03-01,7.616150904706108,7.216625251976188,4.6634597429326154,33073.57064575153,4582.969115196154,0.0029264933129231835,0.6921868471826241,0.0011420552521027442,0.5017009074965656,2285756.0,6621.0,2596.0,34904.58437294134,True,
Beverages,AquaPure,audio,2022-04-01,6.707137839913285,6.50320689473691,3.455055363074054,34220.1890425611,5262.048339605454,0.0031166526708497062,0.7326717264836333,0.0011566742086920776,0.5030404348925029,2281864.0,7182.0,2686.0,35293.283534020615,True,
Beverages,AquaPure,audio,2022-05-01,7.249145475421266,7.045145484895227,3.846694449623283,37481.68137126387,5320.213961744934,0.0030505677853262443,0.733519090272292,0.0012630041761817466,0.5022259056559495,2343101.0,7253.0,2942.0,38567.00496905634,True,
Beverages,AquaPure,audio,2022-06-01,6.384419283758225,6.481873367292221,,39749.43775606502,6132.399617160401,0.003204197616673648,0.7723425210529472,0.001297916758459767,0.4941445314292448,2485651.0,7940.0,3120.0,39151.81037151042,False,external_demand_spike
Beverages,AquaPure,audio,2022-07-01,7.490645691719394,7.3627805657266725,5.449904599675699,40437.40879415075,5492.138253092127,0.0029777747924218025,0.7794689544553118,0.0013593373702276965,0.4399215802804762,2326029.0,7046.0,3174.0,41139.66174385182,True,spend_reduction_artifact
Beverages,AquaPure,audio,2022-08-01,7.548598895261499,7.594545354489587,5.29755735469305,34538.69415278598,4547.82907213374,0.0030110856760149764,0.6949616552771607,0.0012801411604041189,0.3747816101796871,2099320.0,6544.0,2711.0,34329.737509746876,True,spend_reduction_artifact
Beverages,AquaPure,audio,2022-09-01,7.799765335750802,7.932367082531569,7.188675298359622,29060.406256918046,3663.5226225112597,0.003228806017738596,0.6859244752876352,0.0013195446518458208,0.3421397897917699,1672478.0,5341.0,2281.0,28574.616757802196,True,
Beverages,AquaPure,audio,2022-10-01,8.24766218437957,8.342541559584204,4.384236498301015,28168.59194828838,3376.500044632959,0.003417173516698153,0.6336085653280088,0.0013610480221610869,0.36291435596931376,1584784.0,5329.0,2211.0,27848.231733675184,True,
Beverages,AquaPure,audio,2022-11-01,6.8209837491918535,7.127636786803464,5.626403608928074,34576.91476601297,4851.10504368443,0.003550650064146176,0.628218731375865,0.0012867197849151747,0.37178640557562165,2146344.0,7722.0,2714.0,33089.30866859413,True,
Beverages,AquaPure,audio,2022-12-01,8.073989430499164,8.261944626968742,4.598732756066349,37226.877283083966,4505.8250767703685,0.0032631967632335704,0.6225234977577188,0.0013265827520521146,0.3269764123877394,2251271.0,7238.0,2922.0,36379.98404552204,True,
Beverages,AquaPure,audio,2023-01-01,6.252069372891988,6.206950185451175,5.7343469699566105,30041.401996410674,4839.961832918593,0.003544704862927778,0.766423093098748,0.001264494921243107,0.5204237095243176,1816892.0,6315.0,2358.0,30259.777141556508,True,
Beverages,AquaPure,audio,2023-02-01,5.973665562627394,5.90631436131279,4.592733668061351,28079.410517425415,4754.134101183235,0.0033713570829569453,0.7573895334050079,0.0011996238591340804,0.5155873262934599,1845573.0,6277.0,2204.0,28399.607160350828,True,
Beverages,AquaPure,audio,2023-03-01,5.076021574315933,5.226608600800064,4.2578506322221825,34385.81169987804,6578.991144394173,0.003567245704568187,0.7387974333963137,0.0011158822827079392,0.5409304067544812,2467421.0,8905.0,2699.0,33395.100986178295,True,
Beverages,AquaPure,audio,2023-04-01,5.154866073789683,5.268400937228504,3.1679920013213225,34487.73333515,6546.148204371973,0.003556017360395233,0.7575683606494588,0.001056999819878798,0.5333589396250811,2458461.0,8641.0,2707.0,33744.51729271634,True,
Beverages,AquaPure,audio,2023-05-01,6.523035668032096,6.5041139464084425,7.106478192316006,34691.576605693925,5333.789796971582,0.00325464958852009,0.6785992108106339,0.0011108853898307279,0.5279577333156829,2448961.0,7860.0,2723.0,34792.5010914313,True,
Beverages,AquaPure,audio,2023-06-01,7.028715190746916,7.328628019633786,7.494864210811553,43010.93008476779,5868.892508876042,0.0032870377402440644,0.6269514484431195,0.001163354807283367,0.5219768349299547,2838748.0,9361.0,3376.0,41250.77392999781,True,
Beverages,AquaPure,audio,2023-07-01,5.844119498233023,6.158854152990749,4.587758753939636,42463.10129518099,6894.643100869801,0.003454842008957326,0.6850117338171685,0.0011162599198451617,0.51990409603745,2927382.0,10065.0,3333.0,40293.118179150995,True,
Beverages,AquaPure,audio,2023-08-01,5.30796808462829,5.379152300430852,4.6289068495448005,46820.25120305735,8704.020371259465,0.003617227699740001,0.759645694821039,0.0011450584381361853,0.5521713127022162,3206002.0,11458.0,3675.0,46200.662338599715,True,
Beverages,AquaPure,audio,2023-09-01,6.500417130244354,6.516343307879455,4.112771271064692,32742.325331117656,5024.647073386415,0.0035604392150447558,0.6743587536419829,0.001203230332514109,0.49399102341999757,2132536.0,7451.0,2570.0,32662.301909273214,True,
Beverages,AquaPure,audio,2023-10-01,5.950313637514554,5.904239810429969,3.101441507608433,32105.315110667896,5437.671256840407,0.0038837023273844487,0.7051836670782528,0.0012444983887607822,0.46240800574225854,1997492.0,7711.0,2520.0,32355.849435898384,True,
Beverages,AquaPure,audio,2023-11-01,6.957031561175582,6.641778885463175,5.352175735781804,44119.32786835037,6642.697480476819,0.003980939354708395,0.6337242396944113,0.0013390431883850353,0.4704636359487065,2659056.0,10482.0,3463.0,46213.45602301875,True,
Beverages,AquaPure,audio,2023-12-01,6.713704586865031,6.4459749416015955,3.898796842799903,53980.24608091265,8374.256271542452,0.0037719468528725395,0.7470344577647148,0.0013805588420349353,0.4866308599166085,3031334.0,11210.0,4237.0,56222.282741837815,True,spend_reduction_artifact
Beverages,AquaPure,audio,2024-01-01,5.779867639594382,5.546919739397431,5.119731909361348,28181.332152697378,5080.53721284937,0.0038528780007509853,0.7331222529364171,0.001242300757538823,0.5103810611329748,1792995.0,6930.0,2212.0,29364.83262830311,True,
Beverages,AquaPure,audio,2024-02-01,5.710400319186809,5.243243165614919,4.553597851465226,32525.74185616474,6203.363229359242,0.004160348234934679,0.7578015183678527,0.0013471673806988301,0.521565088299092,1951944.0,8186.0,2553.0,35423.68736496473,True,
Beverages,AquaPure,audio,2024-03-01,5.248072989178639,4.983741718496335,3.688248873785472,36449.72481413526,7313.726688294886,0.00436595094608295,0.7394324828930225,0.001254708284917788,0.5120307163253718,2251034.0,9891.0,2861.0,38382.97148307533,True,
Beverages,AquaPure,audio,2024-04-01,6.442153193840904,6.338923729576022,4.570770343920829,41736.90964386827,6584.22650664387,0.003813056840449913,0.710349175385033,0.0013089063425869153,0.5333382774693582,2444582.0,9269.0,3276.0,42416.595818747744,True,
Beverages,AquaPure,audio,2024-05-01,6.957317980807505,6.818639315644324,5.862098742335186,39265.3099885232,5758.525736716262,0.003518586682503092,0.6663417885577716,0.0012732814512248956,0.5474067691176968,2454314.0,8642.0,3082.0,40063.89465099884,True,
