bu,brand,channel,month,roas,rroi,iroas,mas,spend,ctr,cpc,picr,impression_share
Beverages,AquaPure,audio,2022-01-01,5.352245900138124,5.288160686984028,4.532169798619819,24321.05021677183,4599.151133329638,0.0034386930399786897,0.7015178665847525,0.0009783070019520185,0.515922306477547
Beverages,AquaPure,audio,2022-02-01,6.070247391985318,5.946742559104188,,21021.337274842077,3534.9331278280038,0.003227305318353095,0.6277629422532417,0.0009667613280463658,0.5011976754587437
Beverages,AquaPure,audio,2022-03-01,7.616150904706108,7.216625251976188,4.6634597429326154,33073.57064575153,4582.969115196154,0.0029264933129231835,0.6921868471826241,0.0011420552521027442,0.5017009074965656
Beverages,AquaPure,audio,2022-04-01,6.707137839913285,6.50320689473691,3.455055363074054,34220.1890425611,5262.048339605454,0.0031166526708497062,0.7326717264836333,0.0011566742086920776,0.5030404348925029
Beverages,AquaPure,audio,2022-05-01,7.249145475421266,7.045145484895227,3.846694449623283,37481.68137126387,5320.213961744934,0.0030505677853262443,0.733519090272292,0.0012630041761817466,0.5022259056559495
Beverages,AquaPure,audio,2022-06-01,6.384419283758225,6.481873367292221,,39749.43775606502,6132.399617160401,0.003204197616673648,0.7723425210529472,0.001297916758459767,0.4941445314292448
Beverages,AquaPure,audio,2022-07-01,7.490645691719394,7.3627805657266725,5.449904599675699,40437.40879415075,5492.138253092127,0.0029777747924218025,0.7794689544553118,0.0013593373702276965,0.4399215802804762
Beverages,AquaPure,audio,2022-08-01,7.548598895261499,7.594545354489587,5.29755735469305,34538.69415278598,4547.82907213374,0.0030110856760149764,0.6949616552771607,0.0012801411604041189,0.3747816101796871
Beverages,AquaPure,audio,2022-09-01,7.799765335750802,7.932367082531569,7.188675298359622,29060.406256918046,3663.5226225112597,0.003228806017738596,0.6859244752876352,0.0013195446518458208,0.3421397897917699
Beverages,AquaPure,audio,2022-10-01,8.24766218437957,8.342541559584204,4.384236498301015,28168.59194828838,3376.500044632959,0.003417173516698153,0.6336085653280088,0.0013610480221610869,0.36291435596931376
Beverages,AquaPure,audio,2022-11-01,6.8209837491918535,7.127636786803464,5.626403608928074,34576.91476601297,4851.10504368443,0.003550650064146176,0.628218731375865,0.0012867197849151747,0.37178640557562165
Beverages,AquaPure,audio,2022-12-01,8.073989430499164,8.261944626968742,4.598732756066349,37226.877283083966,4505.8250767703685,0.0032631967632335704,0.6225234977577188,0.0013265827520521146,0.3269764123877394
Beverages,AquaPure,audio,2023-01-01,6.252069372891988,6.206950185451175,5.7343469699566105,30041.401996410674,4839.961832918593,0.003544704862927778,0.766423093098748,0.001264494921243107,0.5204237095243176
Beverages,AquaPure,audio,2023-02-01,5.973665562627394,5.90631436131279,4.592733668061351,28079.410517425415,4754.134101183235,0.0033713570829569453,0.7573895334050079,0.0011996238591340804,0.5155873262934599
Beverages,AquaPure,audio,2023-03-01,5.076021574315933,5.226608600800064,4.2578506322221825,34385.81169987804,6578.991144394173,0.003567245704568187,0.7387974333963137,0.0011158822827079392,0.5409304067544812
Beverages,AquaPure,audio,2023-04-01,5.154866073789683,5.268400937228504,3.1679920013213225,34487.73333515,6546.148204371973,0.003556017360395233,0.7575683606494588,0.001056999819878798,0.5333589396250811
Beverages,AquaPure,audio,2023-05-01,6.523035668032096,6.5041139464084425,7.106478192316006,34691.576605693925,5333.789796971582,0.00325464958852009,0.6785992108106339,0.0011108853898307279,0.5279577333156829
